case_id,model,model_snapshot,provider,endpoint,condition,replicate_index,prompt_version_hash,temperature,timestamp,attempt_index,raw_response_text,parsed_score,parsed_verdict,parsed_confidence,parsed_rubric_market_potential,parsed_rubric_technical_feasibility,parsed_rubric_business_viability,parsed_reasoning,validity_flag
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,4,3bb65d16,0.0,2026-08-21T09:43:02.147723,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,8,3bb65d16,0.0,2026-08-21T09:43:02.153894,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,1,3bb65d16,0.0,2026-08-21T09:43:01.670394,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,5,3bb65d16,0.0,2026-08-21T09:43:02.149492,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,7,3bb65d16,0.0,2026-08-21T09:43:02.153398,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,2,3bb65d16,0.0,2026-08-21T09:43:02.145631,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,6,3bb65d16,0.0,2026-08-21T09:43:02.151152,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,9,3bb65d16,0.0,2026-08-21T09:43:02.154324,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,10,3bb65d16,0.0,2026-08-21T09:43:02.154831,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
CASE_KS_001,models/Qwen2.5-7B-Instruct,models/Qwen2.5-7B-Instruct,openai,http://localhost:8000/v1,C1,3,3bb65d16,0.0,2026-08-21T09:43:02.146706,1,"```json
{
  ""score"": 3,
  ""verdict"": ""pass"",
  ""confidence"": 70,
  ""rubric_scores"": {
    ""market_potential"": 2,
    ""technical_feasibility"": 4,
    ""business_viability"": 2
  },
  ""reasoning"": ""The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.""
}
```",3,pass,70,2,4,2,"The idea lacks clear market potential and business model. Technical feasibility seems basic but without more details, it's hard to assess fully.",True
